銘柄コード,銘柄名,市場区分,日経225採否
1301,極洋,プライム（内国株式）,False
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,グロース（内国株式）,False
1332,ニッスイ,プライム（内国株式）,True
1333,マルハニチロ,プライム（内国株式）,False
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,False
1375,ユキグニファクトリー,プライム（内国株式）,False
1376,カネコ種苗,スタンダード（内国株式）,False
1377,サカタのタネ,プライム（内国株式）,False
1379,ホクト,プライム（内国株式）,False
137A,Ｃｏｃｏｌｉｖｅ,グロース（内国株式）,False
1380,秋川牧園,スタンダード（内国株式）,False
1381,アクシーズ,スタンダード（内国株式）,False
1382,ホーブ,スタンダード（内国株式）,False
1383,ベルグアース,スタンダード（内国株式）,False
1384,ホクリヨウ,スタンダード（内国株式）,False
138A,光フードサービス,グロース（内国株式）,False
1401,エムビーエス,グロース（内国株式）,False
1407,ウエストホールディングス,スタンダード（内国株式）,False
1414,ショーボンドホールディングス,プライム（内国株式）,False
1417,ミライト・ワン,プライム（内国株式）,False
1418,インターライフホールディングス,スタンダード（内国株式）,False
1419,タマホーム,プライム（内国株式）,False
141A,トライアルホールディングス,グロース（内国株式）,False
1420,サンヨーホームズ,スタンダード（内国株式）,False
1429,日本アクア,プライム（内国株式）,False
142A,ジンジブ,グロース（内国株式）,False
1430,ファーストコーポレーション,スタンダード（内国株式）,False
1431,Ｌｉｂ　Ｗｏｒｋ,グロース（内国株式）,False
1433,ベステラ,プライム（内国株式）,False
1434,ＪＥＳＣＯホールディングス,スタンダード（内国株式）,False
1435,ｒｏｂｏｔ　ｈｏｍｅ,スタンダード（内国株式）,False
1436,グリーンエナジー＆カンパニー,グロース（内国株式）,False
1438,岐阜造園,スタンダード（内国株式）,False
143A,イシン,グロース（内国株式）,False
1443,技研ホールディングス,スタンダード（内国株式）,False
1444,ニッソウ,グロース（内国株式）,False
1446,キャンディル,スタンダード（内国株式）,False
1447,ＳＡＡＦホールディングス,グロース（内国株式）,False
1450,ＴＡＮＡＫＥＮ,スタンダード（内国株式）,False
145A,Ｌ　ｉｓ　Ｂ,グロース（内国株式）,False
146A,コロンビア・ワークス,スタンダード（内国株式）,False
147A,ソラコム,グロース（内国株式）,False
148A,ハッチ・ワーク,グロース（内国株式）,False
1491,中外鉱業,スタンダード（内国株式）,False
149A,シンカ,グロース（内国株式）,False
150A,ＪＳＨ,グロース（内国株式）,False
1514,住石ホールディングス,スタンダード（内国株式）,False
1515,日鉄鉱業,プライム（内国株式）,False
1518,三井松島ホールディングス,プライム（内国株式）,False
151A,ダイブ,グロース（内国株式）,False
153A,カウリス,グロース（内国株式）,False
155A,情報戦略テクノロジー,グロース（内国株式）,False
156A,マテリアルグループ,グロース（内国株式）,False
157A,グリーンモンスター,グロース（内国株式）,False
1605,ＩＮＰＥＸ,プライム（内国株式）,True
