日付,コード,社名,業種,セクター,ウエート
"2025/08/29","1332","ニッスイ","水産","消費","0.0792%"
"2025/08/29","1605","ＩＮＰＥＸ","鉱業","素材","0.0796%"
"2025/08/29","1721","コムシスホールディングス","建設","資本財・その他","0.2935%"
"2025/08/29","1801","大成建設","建設","資本財・その他","0.1582%"
"2025/08/29","1802","大林組","建設","資本財・その他","0.1894%"
"2025/08/29","1803","清水建設","建設","資本財・その他","0.1572%"
"2025/08/29","1808","長谷工コーポレーション","建設","資本財・その他","0.0385%"
"2025/08/29","1812","鹿島建設","建設","資本財・その他","0.1741%"
"2025/08/29","1925","大和ハウス工業","建設","資本財・その他","0.4133%"
"2025/08/29","1928","積水ハウス","建設","資本財・その他","0.2634%"
"2025/08/29","1963","日揮ホールディングス","建設","資本財・その他","0.1115%"
"2025/08/29","2002","日清製粉グループ本社","食品","消費","0.1415%"
"2025/08/29","2269","明治ホールディングス","食品","消費","0.0967%"
"2025/08/29","2282","日本ハム","食品","消費","0.2199%"
"2025/08/29","2413","エムスリー","サービス","消費","0.4146%"
"2025/08/29","2432","ディー・エヌ・エー","サービス","消費","0.0531%"
"2025/08/29","2501","サッポロホールディングス","食品","消費","0.1192%"
"2025/08/29","2502","アサヒグループホールディングス","食品","消費","0.4402%"
"2025/08/29","2503","キリンホールディングス","食品","消費","0.1688%"
"2025/08/29","2768","双日","商社","素材","0.0309%"
"2025/08/29","2801","キッコーマン","食品","消費","0.5023%"
"2025/08/29","2802","味の素","食品","消費","0.6337%"
"2025/08/29","2871","ニチレイ","食品","消費","0.1341%"
"2025/08/29","2914","日本たばこ産業","食品","消費","0.3705%"
"2025/08/29","3086","Ｊ．フロントリテイリング","小売業","消費","0.0908%"
"2025/08/29","3092","ＺＯＺＯ","小売業","消費","0.3257%"
"2025/08/29","3099","三越伊勢丹ホールディングス","小売業","消費","0.1960%"
"2025/08/29","3289","東急不動産ホールディングス","不動産","資本財・その他","0.0940%"
"2025/08/29","3382","セブン＆アイ・ホールディングス","小売業","消費","0.4537%"
"2025/08/29","3401","帝人","繊維","素材","0.0199%"
"2025/08/29","3402","東レ","繊維","素材","0.0785%"
"2025/08/29","3405","クラレ","化学","素材","0.1403%"
"2025/08/29","3407","旭化成","化学","素材","0.0956%"
"2025/08/29","3436","ＳＵＭＣＯ","非鉄・金属","素材","0.0099%"
"2025/08/29","3659","ネクソン","サービス","消費","0.5304%"
"2025/08/29","3861","王子ホールディングス","パルプ・紙","素材","0.0642%"
"2025/08/29","4004","レゾナック・ホールディングス","化学","素材","0.0307%"
"2025/08/29","4005","住友化学","化学","素材","0.0352%"
"2025/08/29","4021","日産化学","化学","素材","0.4138%"
"2025/08/29","4042","東ソー","化学","素材","0.0923%"
"2025/08/29","4043","トクヤマ","化学","素材","0.0537%"
"2025/08/29","4061","デンカ","化学","素材","0.0355%"
"2025/08/29","4063","信越化学工業","化学","素材","1.8009%"
"2025/08/29","4151","協和キリン","医薬品","技術","0.2012%"
"2025/08/29","4183","三井化学","化学","素材","0.0575%"
"2025/08/29","4188","三菱ケミカルグループ","化学","素材","0.0334%"
"2025/08/29","4208","ＵＢＥ","化学","素材","0.0185%"
"2025/08/29","4307","野村総合研究所","サービス","消費","0.4581%"
"2025/08/29","4324","電通グループ","サービス","消費","0.2311%"
"2025/08/29","4385","メルカリ","サービス","消費","0.1977%"
"2025/08/29","4452","花王","化学","素材","0.5299%"
"2025/08/29","4502","武田薬品工業","医薬品","技術","0.3494%"
"2025/08/29","4503","アステラス製薬","医薬品","技術","0.6402%"
"2025/08/29","4506","住友ファーマ","医薬品","技術","0.1205%"
"2025/08/29","4507","塩野義製薬","医薬品","技術","0.6047%"
"2025/08/29","4519","中外製薬","医薬品","技術","1.5434%"
"2025/08/29","4523","エーザイ","医薬品","技術","0.3587%"
"2025/08/29","4543","テルモ","精密機器","技術","1.6842%"
"2025/08/29","4568","第一三共","医薬品","技術","0.8368%"
"2025/08/29","4578","大塚ホールディングス","医薬品","技術","0.6138%"
