銘柄コード,銘柄名,市場区分,日経225採否,前日終値,時価総額,平均取引量,PBR,PER
1301,極洋,プライム（内国株式）,False,5070.0,60337192960.0,50926.0,0.8833867,8.954224
1305,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,ETF・ETN,False,3295.0,8676220338176.0,156113.0,0.0,15.461329
1306,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,ETF・ETN,False,3261.0,0.0,1261767.0,0.0,15.466754
1308,上場インデックスファンドＴＯＰＩＸ,ETF・ETN,False,3222.0,0.0,242082.0,0.0,15.478521
1309,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,ETF・ETN,False,49200.0,0.0,149.0,0.0,0.0
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,グロース（内国株式）,False,705.0,4456644608.0,284171.0,2.2007027,0.0
1311,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,ETF・ETN,False,1627.0,0.0,14738.0,0.0,16.33512
1319,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,ETF・ETN,False,598.0,0.0,3650.0,0.0,15.104962
131A,ＣＣＮグループ,PRO Market,False,0.0,1573721984.0,0.0,0.0,9.2423115
1320,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,ETF・ETN,False,45020.0,0.0,39862.0,0.0,19.917057
1321,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,ETF・ETN,False,45190.0,0.0,229332.0,0.0,19.903694
1322,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,ETF・ETN,False,9885.0,0.0,1254.0,0.0,14.517145
1325,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,ETF・ETN,False,216.0,0.0,42187.0,0.0,6.0007324
1326,ＳＰＤＲゴールド・シェア,ETF・ETN,False,49510.0,13220454596608.0,17112.0,290.02982,0.0
1328,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,ETF・ETN,False,12865.0,0.0,37364.0,0.0,0.0
1329,ｉシェアーズ・コア　日経２２５　ＥＴＦ,ETF・ETN,False,4526.0,0.0,465707.0,0.0,21.21081
132A,アイエヌホールディングス,PRO Market,False,0.0,1742400000.0,0.0,1.4666667,87.64941
1330,上場インデックスファンド２２５,ETF・ETN,False,45190.0,0.0,39805.0,0.0,19.921297
1332,ニッスイ,プライム（内国株式）,True,1071.0,325325258752.0,1273925.0,1.2315793,13.147581
1333,マルハニチロ,プライム（内国株式）,False,3510.0,177399611392.0,184347.0,0.7832383,7.6246967
133A,グローバルＸ　超短期米国債　ＥＴＦ,ETF・ETN,False,996.0,0.0,39779.0,0.0,0.0
1343,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信,ETF・ETN,False,2062.0,0.0,600410.0,0.0,20.739311
1345,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,ETF・ETN,False,1928.0,0.0,56947.0,0.0,20.513718
1346,ＭＡＸＩＳ　日経２２５上場投信,ETF・ETN,False,45250.0,0.0,22028.0,0.0,19.901733
1348,ＭＡＸＩＳ　トピックス上場投信,ETF・ETN,False,3252.0,0.0,100019.0,0.0,15.466545
1349,ＡＢＦ汎アジア債券インデックス・ファンド,ETF・ETN,False,17050.0,543985991680.0,84.0,140.8433,0.0
134A,アプライズ,PRO Market,False,0.0,360000000.0,0.0,0.0,14.044944
1356,ＴＯＰＩＸベア２倍上場投信,ETF・ETN,False,210.0,0.0,1960849.0,0.0,0.0
1357,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,ETF・ETN,False,8192.0,0.0,2299640.0,0.0,0.0
1358,上場インデックスファンド日経レバレッジ指数,ETF・ETN,False,61920.0,0.0,12195.0,0.0,20.58346
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,False,2419.0,24213450752.0,128563.0,19.035734,57.90619
1360,日経平均ベア２倍上場投信,ETF・ETN,False,201.0,0.0,50041997.0,0.0,0.0
1364,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,ETF・ETN,False,2878.0,0.0,11543.0,0.0,16.478363
1365,ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・インデックス,ETF・ETN,False,50550.0,0.0,45039.0,0.0,0.0
1366,ｉＦｒｅｅＥＴＦ　日経平均ダブルインバース・インデックス,ETF・ETN,False,207.0,0.0,2891372.0,0.0,0.0
1367,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸレバレッジ（２倍）指数,ETF・ETN,False,46470.0,0.0,6750.0,0.0,0.0
1368,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸダブルインバース（－２倍）指数,ETF・ETN,False,305.0,0.0,148300.0,0.0,0.0
1369,Ｏｎｅ　ＥＴＦ　日経２２５,ETF・ETN,False,43960.0,0.0,6473.0,0.0,19.91997
136A,三興商事,PRO Market,False,0.0,1039200000.0,0.0,0.0,8.532355
1375,ユキグニファクトリー,プライム（内国株式）,False,1077.0,42944299008.0,51903.0,3.8230534,28.567638
1376,カネコ種苗,スタンダード（内国株式）,False,1431.0,16023058432.0,7782.0,0.6405893,13.43423
1377,サカタのタネ,プライム（内国株式）,False,3650.0,157982588928.0,100006.0,0.97864753,16.393442
1379,ホクト,プライム（内国株式）,False,1926.0,60297945088.0,41909.0,1.042231,15.764436
137A,Ｃｏｃｏｌｉｖｅ,グロース（内国株式）,False,1390.0,4143765248.0,27749.0,11.204001,21.34849
1380,秋川牧園,スタンダード（内国株式）,False,1017.0,4248333312.0,2331.0,1.9907866,151.86288
1381,アクシーズ,スタンダード（内国株式）,False,3055.0,17099867136.0,2511.0,0.79165983,12.811343
1382,ホーブ,スタンダード（内国株式）,False,1850.0,1380167808.0,9053.0,1.8255401,59.351456
1383,ベルグアース,スタンダード（内国株式）,False,3000.0,4801229824.0,1219.0,2.4114614,0.0
1384,ホクリヨウ,スタンダード（内国株式）,False,2354.0,19590858752.0,39003.0,1.9786823,8.976745
138A,光フードサービス,グロース（内国株式）,False,2390.0,2423456000.0,3246.0,1.8699272,22.76582
1397,ＳＭＤＡＭ　日経２２５上場投信,ETF・ETN,False,44080.0,0.0,3526.0,0.0,19.908495
1398,ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信,ETF・ETN,False,1950.0,0.0,185286.0,0.0,20.409924
1399,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ,ETF・ETN,False,2562.0,0.0,685.0,0.0,12.534586
139A,東日本地所,PRO Market,False,0.0,1675000064.0,0.0,1.6800401,7.6219516
1401,エムビーエス,グロース（内国株式）,False,1505.0,10836296704.0,76430.0,3.0018682,23.700401
1407,ウエストホールディングス,スタンダード（内国株式）,False,1826.0,70673408000.0,369593.0,2.2455175,14.479565
140A,ｉＦｒｅｅＥＴＦ　米国１０年国債先物インバース,ETF・ETN,False,1945.0,0.0,857.0,0.0,0.0
1414,ショーボンドホールディングス,プライム（内国株式）,False,5015.0,254219993088.0,227385.0,2.4188156,17.055538
1417,ミライト・ワン,プライム（内国株式）,False,2883.0,255561711616.0,339725.0,1.0105419,15.2019005
1418,インターライフホールディングス,スタンダード（内国株式）,False,460.0,7030831616.0,74026.0,1.625672,9.966996
1419,タマホーム,プライム（内国株式）,False,3755.0,107836104704.0,165082.0,3.1488678,72.8412
141A,トライアルホールディングス,グロース（内国株式）,False,2453.0,294807339008.0,2116544.0,2.3407917,25.29868
1420,サンヨーホームズ,スタンダード（内国株式）,False,702.0,7866541568.0,11120.0,0.5230422,11.655321
1429,日本アクア,プライム（内国株式）,False,916.0,29216919552.0,88233.0,2.8621602,14.409312
142A,ジンジブ,グロース（内国株式）,False,953.0,2583313920.0,22763.0,0.0,13.980521
1430,ファーストコーポレーション,スタンダード（内国株式）,False,989.0,11731953664.0,29901.0,1.2020555,7.0318656
1431,Ｌｉｂ　Ｗｏｒｋ,グロース（内国株式）,False,786.0,18202322944.0,107388.0,3.8617465,50.06394
1432,動力,PRO Market,False,0.0,0.0,0.0,0.0,0.0
1433,ベステラ,プライム（内国株式）,False,1098.0,10885859328.0,101055.0,1.8501865,23.318192
1434,ＪＥＳＣＯホールディングス,スタンダード（内国株式）,False,1316.0,9504621568.0,68271.0,1.394148,10.866979
1435,ｒｏｂｏｔ　ｈｏｍｅ,スタンダード（内国株式）,False,191.0,16718460928.0,381666.0,1.7787468,29.76
1436,グリーンエナジー＆カンパニー,グロース（内国株式）,False,2425.0,9909084160.0,4607.0,1.8941226,36.789856
